date,material,consumption
2026-08-01,Steel Shaft,7
2026-08-02,Steel Shaft,8
2026-08-03,Steel Shaft,8
2026-08-04,Steel Shaft,9
2026-08-05,Steel Shaft,8
2026-08-06,Steel Shaft,7
2026-08-07,Steel Shaft,9
2026-08-08,Steel Shaft,8
2026-08-09,Steel Shaft,8
2026-08-10,Steel Shaft,9
2026-08-01,Aluminium Block,5
2026-08-02,Aluminium Block,6
2026-08-03,Aluminium Block,6
2026-08-04,Aluminium Block,7
2026-08-05,Aluminium Block,6
2026-08-06,Aluminium Block,5
2026-08-07,Aluminium Block,6
2026-08-08,Aluminium Block,7
2026-08-09,Aluminium Block,6
2026-08-10,Aluminium Block,6
2026-08-01,Servo Gear,6
2026-08-02,Servo Gear,7
2026-08-03,Servo Gear,7
2026-08-04,Servo Gear,8
2026-08-05,Servo Gear,7
2026-08-06,Servo Gear,6
2026-08-07,Servo Gear,8
2026-08-08,Servo Gear,7
2026-08-09,Servo Gear,7
2026-08-10,Servo Gear,8
2026-08-01,Ball Bearing,4
2026-08-02,Ball Bearing,5
2026-08-03,Ball Bearing,5
2026-08-04,Ball Bearing,6
2026-08-05,Ball Bearing,5
2026-08-06,Ball Bearing,4
2026-08-07,Ball Bearing,5
2026-08-08,Ball Bearing,6
2026-08-09,Ball Bearing,5
2026-08-10,Ball Bearing,5
2026-08-01,Copper Wire,5
2026-08-02,Copper Wire,6
2026-08-03,Copper Wire,6
2026-08-04,Copper Wire,7
2026-08-05,Copper Wire,6
2026-08-06,Copper Wire,5
2026-08-07,Copper Wire,6
2026-08-08,Copper Wire,7
2026-08-09,Copper Wire,6
2026-08-10,Copper Wire,6
2026-08-01,Motor Housing,4
2026-08-02,Motor Housing,5
2026-08-03,Motor Housing,5
2026-08-04,Motor Housing,6
2026-08-05,Motor Housing,5
2026-08-06,Motor Housing,4
2026-08-07,Motor Housing,5
2026-08-08,Motor Housing,6
2026-08-09,Motor Housing,5
2026-08-10,Motor Housing,5
2026-08-01,Fasteners,9
2026-08-02,Fasteners,10
2026-08-03,Fasteners,10
2026-08-04,Fasteners,11
2026-08-05,Fasteners,10
2026-08-06,Fasteners,9
2026-08-07,Fasteners,11
2026-08-08,Fasteners,10
2026-08-09,Fasteners,10
2026-08-10,Fasteners,11
2026-08-01,Robot Joint Material,7
2026-08-02,Robot Joint Material,8
2026-08-03,Robot Joint Material,8
2026-08-04,Robot Joint Material,9
2026-08-05,Robot Joint Material,8
2026-08-06,Robot Joint Material,7
2026-08-07,Robot Joint Material,9
2026-08-08,Robot Joint Material,8
2026-08-09,Robot Joint Material,8
2026-08-10,Robot Joint Material,9
